kanji	on	kun	en	bg
㑪			A Generation | A Class | A Series | A Kind	поколение | клас | серия | вид
㒒			A Slave | A Servant | Used Conventionally For Oneself | A Charioteer	роб | слуга | колесничар?
㒵		かお	Manner | Appearance | Form | Face | Bearing	вид | външност | лице | форма
㒼			Average | Equivalent | Corresponding | To Cover Something Carefully And Tightly Without A Break	среден | еквивалентен | съответстващ | покривам плътно?
㓁			A Net | Net-like | Radical 122	мрежа | мрежовиден | радикал 122
㓛			Merit | Achievement | Meritorious | Efficacy | Good Results	заслуга | постижение | ефикасност
㕞			A Brush | To Brush | To Clean | To Scrub | To Print | Expecially From Blocks	четка | четкам | почиствам | печатам (от дъски)?
㕣			A Marsh At The Foot Of The Hills | Name Of A River	блато в подножието на хълм? | название на река?
㕮			To Chew | To Masticate | To Dwell On | Chinese Medicine Term	дъвча | премислям | термин от китайската медицина?
㖦			Loquacity	бъбривост
㖨			Indistinct Nasal Utterance | Laugh | Sound Of Birds	неясен носов звук? | смях | птича песен
㗅			Angry | The Throat | What? How? Why? Which?	ядосан | гърло | въпросителна частица?
㗚			Vexingly Verbose Or Wordy | Prosy | Complicated | Annoying	многословен | досаден | сложен
㗴			Dogs Fighting | To Go To Law | An Indictment	сбиване на кучета? | съдебен процес | обвинение
㘅			To Hold In The Mouth	държа в устата
㙊			An Area Of Level Ground | An Open Space | A Threshing Floor | Arena For Drill_ Etc. | A Place To Pile A Sand-hill	равна площ | открито пространство | хармана?
㚖			To Come Out To The Open | To Be Known By All | Glossy | Shining	излизам наяве | известен на всички | лъскав | блестящ
㛏			Used In Girl's Name	използва се в имена на момичета
㝡			Very | Exceedingly | Most | Superior	много | изключително | най- | превъзходен
㝢			A House | A Roof | Look | Appearance | Space	къща | покрив | вид | външност | пространство
㝫			Shape Of The Sky	форма на небето?
㝵			To Get | Complacent | To Obstruct | To Hinder | To Stop Progress | To Injure | To Offend | To Concern | Hindrance | Restraint	получавам | самодоволен | преча | възпрепятствам | накърнявам
㟁			Shore | Bank | Beach | Coast	бряг | плаж | крайбрежие
㟢			The Rocks On The Hills Are Of Different Shapes | Rugged And Weird | Character Different From Others	неравен | чудат | своенравен характер?
㟨			A Fountain In The Side Of A Hill | Name Of A Mountain	извор в склон на хълм? | име на планина
㟴			Lump On The Hills | Rugged | Rough | Lofty | Steep | The Dejection One Feels At Heart	неравен | стръмен | висок | потиснатост в сърцето?
㟽			Mountain Top | Summit | Pointing Mountain	връх на планина | връх
㠀			Island | Isle	остров
㠶			A Sail | To Sail	платно | плавам с платно
㡀			Ragged Clothing | Ragged | Old And Wear Out	дрипи | износен | стар и износен
㡜			Ragged Clothes | Left Over | Remainder | The Excess | The Surplus | To Cut Out (of Silk Fabrics) As A Design	дрипи | остатък | излишък | изрязвам (шаблон от коприна)?
㡡			Screen To Make A Temporary Kitchen	паравана за временна кухня?
㣺			The Heart | The Moral Nature | The Mind | The Affections | Intention | The Radical On Left Side Of The Character	сърце | нрав | ум | намерение | радикал (лява страна на йероглиф)
㤚			Joy | Delight | Gratification	радост | наслада | удовлетворение
㥯			Careful | Compassionate | To Take An Interest In | Prudent | Cautious | Worried And Grieved	внимателен | състрадателен | предпазлив | разтревожен
㩮			To Lift Up Or Off | To Raise High | To Unveil	повдигам | издигам високо | разкривам
㩳			To Hold | To Grasp | To Detain | To Uphold | To Push | To Stand Upright | Expel | To Shirk | To Raise Up	държа | хващам | задържам | изправям | издигам
㫗			Thick | Deep Friendship | To Treat Kindly | Generous	дебел | дълбоко приятелство | щедър
㫪			To Pound (grain) In Order To Remove The Husk	чукам зърно за отделяне на люспата?
㬎			Motes In A Sunbeam | Bright | Fibrous | To Manifest | To Display | To Be Illustrious | Evident | To Seem | To Appear | Cocoons | Chrysalis | Will Not Have A Pleasant Conversation	прашинки в слънчев лъч? | ярък | проявявам | явен | какавида
㬚			Light | Bright | Clear	светъл | ярък | ясен
㬜			To Advance | To Increase | To Flourish	напредвам | увеличавам се | процъфтявам
㬢			Sunshine | Sunlight | The Light Of Day	слънчева светлина | дневна светлина
㭭			A Kind Of Tree | A Harrow | A Drag | A Written Contract Or Agreement | A Bond | A Deed | Handles Of Spears Or Lances Used In Ancient Times	вид дърво | брана | писмен договор | дръжка на копие (в древността)?
㮇			A Builder's Frame For Measuring | Juniper | A Poker (for Stirring Fire) | A Cylinder Part On The Old Style Of Wooden Doors	мерителна рамка на строител? | хвойна | ръжен за огън | цилиндрична част на стара дървена врата?
㮈			But | How | What | A Remedy | A Resource | To Bear | To Endure	но | как | какво | средство | издържам
㮍			A Memorandum Tablet | Slip Of Paper | Fancy Note-paper | A Note | A Document | Comments	бележник | листче хартия | документ | бележка
㮤			Pine | Fir | Loose | Lax | Slack	бор | ела | хлабав | отпуснат
㮶			A Tree | A Fence | A Palisade | A Railing	дърво | ограда | парапет
㯃			The Varnish Tree | Paint | Lacquer | Varinish | To Paint Or Varinish | Black | Sticky	лаково дърво | боя | лак | лакирам | лепкав
㯍			An Oar	весло
㯰			To Plant | To Set Up | To Erect | Plants	садя | изправям | издигам | растения
㰏			A Bamboo Pole | A Pole For Punting A Boat	бамбуков прът | прът за отблъскване на лодка
㰦			To Breath With Mouth Open	дишам с отворена уста
㳃			To Temper Iron Or Steel For Making Swords_ Etc. (also Used Figuratively) | To Dip Into Water | To Soak | To Dye	калявам (метал за мечове) | потапям във вода | накисвам | боядисвам
㳒			Statutes | Laws | Regulations | A Rule | Legal Standard | Plan Or Methods_ Etc.	закони | правила | правен стандарт | метод
㴑			To Trace Up To A Source | To Go Against The Stream | Water	проследявам до извора | плувам срещу течението | вода
㴞			Fluent | To Fill | To Prevail	плавен | изпълвам | преобладавам
㵤			To Overflow | To Spread	преливам | разпространявам се
㶚	は ば		Name Of A River In Shanxi	име на река в Шанси (Китай)
㷀			Solitary | Alone | Single | Brotherless | Friendless | Helpless | Dice | A Kind Of Gambling Game Played In Ancient Times	самотен | сам | безпомощен | зарове (древна хазартна игра)?
㷔			Flame | Blaze | Glowing | Brilliant	пламък | жар | блестящ
㸅			Ashes | Candle End	пепел | угарка от свещ
㸿			A Calf	теле
㹠		トン	Small Pig | Sucking Pig | To Shuffle Along Without Lifting The Feet	малко прасенце | сукалче | тътря крака
㹦			Dog With A Short Tail | The Sable | The Marten | Mink	куче с къса опашка? | самур | куница | норка
㹨			A Kind Of Animal (looks Like Weasel) | An Ape With Black Color And Long Tail	животно, подобно на невестулка? | маймуна с черен цвят и дълга опашка?
㺃			A Dog | Canine	куче | кучешки
㺔			A Kind Of Beast | A Legendary Monster	вид звяр | легендарно чудовище
㽲			Griping Colic | Illness | Disease	колики | болест
㽵			Solemn | Large Farmhouse	тържествен | голяма ферма
㽷			Dropsy | Hydrophillic Swelling	воднянка | оток
㾮			Jaundice	жълтеница
㿉			Disease Of The Private Part Of The Human Body	болест на интимните части на тялото?
㿗			Disease Of The Private Part Of The Human Body	болест на интимните части на тялото?
䀹			To Wink Eyelashes | Having One Eye Smaller Than The Other | Joke | Witticism | Pleasantry | Jest | Fun	мигам с мигли | шега | закачка | забавление
䁘			To Look At | To See | Pretty Eyes | Farsightedness (as A Physical Defect) | Hypermetropia | To Look From A Distance	гледам | красиви очи | далекогледство
䂓			Regulations | Laws | Rules | Customs Or Usages | A Pair Of Compasses	правила | закони | обичаи | пергел
䄅			To Worship | To Honor By A Rite Or Service | To Offer Sacrifices	поклонявам се | почитам с обред | принасям жертви
䅏			Rice Boiled To Gruel | Congee | Porridge	оризова каша | каша
䅣			A Variety Of Panicled Millet | A Small Coarse Grain Resembling Sorghum	вид метличесто просо? | дребно грубо зърно, подобно на сорго?
